src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.10.20,214,200,9,5,3,0.12,366.93,131.464,597.3,0.014,3.2703,0,0,normal
192.168.10.1,188,183,0,5,23,0.0,140.22,117.0037,225.31,0.1223,0.0,0,0,normal
1.1.1.1,3,0,3,0,3,0.0,203.0,127.4261,4.78,1.0,0.0,0,0,normal
52.54.122.173,5,5,0,0,1,0.0,158.6,0.2091,3792.66,0.2,0.0,0,0,normal
8.8.8.8,6,0,6,0,6,0.0,150.67,3.2451,278.57,1.0,0.0,0,0,normal
